source,target,SentDate,SentTime,Subject,MainSubject
Bertrand.Ovan,Dante.Coginian,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Albina.Hafon,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Benito.Hawelon,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Claudio.Hawelon,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Henk.Mies,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Valeria.Morlun,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Adan.Morlun,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Cecilia.Morluniau,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Irene.Nant,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Bertrand.Ovan,Dylan.Scozzese,6/1/2014,10:01:00 AM,Don't text and drive!,Work related
Orhan.Strum,Stenig.Fusil,6/1/2014,10:25:00 AM,Service anniversary,Work related
Varja.Lagos,Varja.Lagos,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related
Varja.Lagos,Hennie.Osvaldo,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related
Varja.Lagos,Loreto.Bodrogi,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related
Varja.Lagos,Inga.Ferro,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related
Brand.Tempestad,Birgitta.Frente,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related
Brand.Tempestad,Lars.Azada,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related
Brand.Tempestad,Felix.Balas,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related
Isak.Baza,Isak.Baza,6/1/2014,10:43:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Isak.Baza,Lucas.Alcazar,6/1/2014,10:43:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Isak.Baza,6/1/2014,10:50:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Lucas.Alcazar,6/1/2014,10:50:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Linnea.Bergen,Rachel.Pantanal,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lars.Azada,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Felix.Balas,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isande.Borrasca,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Axel.Calzas,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Gustav.Cazar,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lidelse.Dedos,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Birgitta.Frente,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Vira.Frente,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Adra.Nubarron,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Marin.Onda,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Kare.Orilla,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Elsa.Orilla,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Brand.Tempestad,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ingrid.Barranco,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ada.Campo-Corrente,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Sten.Sanjorge.Jr,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Orhan.Strum,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Willem.Vasco-Pais,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Bertrand.Ovan,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Albina.Hafon,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Benito.Hawelon,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Claudio.Hawelon,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Henk.Mies,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Valeria.Morlun,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Adan.Morlun,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Cecilia.Morluniau,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Irene.Nant,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Dylan.Scozzese,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lucas.Alcazar,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isak.Baza,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Linnea.Bergen,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Nils.Calixto,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Sven.Flecha,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Hideki.Cocinaro,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Inga.Ferro,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Loreto.Bodrogi,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isia.Vann,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Stenig.Fusil,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Hennie.Osvaldo,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Kanon.Herrero,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Varja.Lagos,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Minke.Mies,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Felix.Resumir,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Edvard.Vann,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Emile.Arpa,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Varro.Awelon,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Mat.Bramar,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Dante.Coginian,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Carla.Forluniau,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Linda.Lagos,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Cornelia.Lais,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ruscella.Mies.Haber,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Anda.Ribera,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related
Loreto.Bodrogi,Ingrid.Barranco,6/1/2014,11:04:00 AM,Plants,Non-work related
Linnea.Bergen,Rachel.Pantanal,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lars.Azada,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Felix.Balas,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isande.Borrasca,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Axel.Calzas,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Gustav.Cazar,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lidelse.Dedos,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Birgitta.Frente,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Vira.Frente,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Adra.Nubarron,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Marin.Onda,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Kare.Orilla,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Elsa.Orilla,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Brand.Tempestad,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ingrid.Barranco,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ada.Campo-Corrente,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Sten.Sanjorge.Jr,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Orhan.Strum,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Willem.Vasco-Pais,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Bertrand.Ovan,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Albina.Hafon,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Benito.Hawelon,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Claudio.Hawelon,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Henk.Mies,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Valeria.Morlun,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Adan.Morlun,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Cecilia.Morluniau,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Irene.Nant,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Dylan.Scozzese,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Lucas.Alcazar,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isak.Baza,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Linnea.Bergen,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Nils.Calixto,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Sven.Flecha,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Hideki.Cocinaro,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Inga.Ferro,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Loreto.Bodrogi,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Isia.Vann,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Stenig.Fusil,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Hennie.Osvaldo,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Kanon.Herrero,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Varja.Lagos,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Minke.Mies,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Felix.Resumir,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Edvard.Vann,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Emile.Arpa,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Varro.Awelon,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Mat.Bramar,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Dante.Coginian,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Carla.Forluniau,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Linda.Lagos,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Cornelia.Lais,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Ruscella.Mies.Haber,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Linnea.Bergen,Anda.Ribera,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related
Lucas.Alcazar,Nils.Calixto,6/1/2014,11:23:00 AM,GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Sven.Flecha,6/1/2014,11:23:00 AM,GT-SeismicProcessorPro Bug Report,Work related
Isak.Baza,Isak.Baza,6/1/2014,11:34:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Isak.Baza,Lucas.Alcazar,6/1/2014,11:34:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Isak.Baza,6/1/2014,11:40:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Lucas.Alcazar,6/1/2014,11:40:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related
Sten.Sanjorge.Jr,Orhan.Strum,6/1/2014,11:53:00 AM,IPO,Work related
Sten.Sanjorge.Jr,Willem.Vasco-Pais,6/1/2014,11:53:00 AM,IPO,Work related
Mat.Bramar,Mat.Bramar,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Anda.Ribera,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Rachel.Pantanal,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Linda.Lagos,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Ruscella.Mies.Haber,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Carla.Forluniau,6/1/2014,12:05:00 PM,Craft night,Non-work related
Mat.Bramar,Cornelia.Lais,6/1/2014,12:05:00 PM,Craft night,Non-work related
Lucas.Alcazar,Isak.Baza,6/1/2014,12:05:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related
Lucas.Alcazar,Lucas.Alcazar,6/1/2014,12:05:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related
Ingrid.Barranco,Loreto.Bodrogi,6/1/2014,12:15:00 PM,RE: Plants,Non-work related
Axel.Calzas,Felix.Balas,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Lars.Azada,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Elsa.Orilla,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Birgitta.Frente,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Kare.Orilla,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Isande.Borrasca,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Gustav.Cazar,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Axel.Calzas,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Axel.Calzas,Vira.Frente,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related
Lars.Azada,Birgitta.Frente,6/1/2014,12:21:00 PM,RE: Wellhead flow rate data,Work related
Lars.Azada,Lars.Azada,6/1/2014,12:21:00 PM,RE: Wellhead flow rate data,Work related
Lars.Azada,Felix.Balas,6/1/2014,12:21:00 PM,RE: Wellhead flow rate data,Work related
Stenig.Fusil,Orhan.Strum,6/1/2014,12:28:00 PM,RE: Service anniversary,Work related
Orhan.Strum,Stenig.Fusil,6/1/2014,12:28:00 PM,RE: Service anniversary,Work related
Albina.Hafon,Dante.Coginian,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Irene.Nant,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Dylan.Scozzese,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Benito.Hawelon,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Valeria.Morlun,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Adan.Morlun,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Albina.Hafon,Emile.Arpa,6/1/2014,12:30:00 PM,RE: New refueling policies - Effective February 1,Work related
Nils.Calixto,Nils.Calixto,6/1/2014,12:34:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related
Nils.Calixto,Sven.Flecha,6/1/2014,12:34:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related
Felix.Balas,Birgitta.Frente,6/1/2014,12:36:00 PM,RE: Wellhead flow rate data,Work related
Felix.Balas,Lars.Azada,6/1/2014,12:36:00 PM,RE: Wellhead flow rate data,Work related
Felix.Balas,Felix.Balas,6/1/2014,12:36:00 PM,RE: Wellhead flow rate data,Work related
Felix.Balas,Birgitta.Frente,6/1/2014,12:37:00 PM,RE: Wellhead flow rate data,Work related
Felix.Balas,Lars.Azada,6/1/2014,12:37:00 PM,RE: Wellhead flow rate data,Work related
Felix.Balas,Felix.Balas,6/1/2014,12:37:00 PM,RE: Wellhead flow rate data,Work related
Lars.Azada,Birgitta.Frente,6/1/2014,12:39:00 PM,RE: Wellhead flow rate data,Work related
