source,target,SentDate,SentTime,Subject,MainSubject,sourceLabel,targetLabel
1,31,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Albina.Hafon
1,32,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Benito.Hawelon
1,34,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Claudio.Hawelon
1,36,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Henk.Mies
1,38,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Valeria.Morlun
1,30,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Adan.Morlun
1,33,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Cecilia.Morluniau
1,37,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Irene.Nant
1,35,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Dylan.Scozzese
1,40,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Lucas.Alcazar
1,41,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Isak.Baza
1,39,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Linnea.Bergen
1,42,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Nils.Calixto
1,43,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Sven.Flecha
1,52,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Hideki.Cocinaro
1,53,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Inga.Ferro
1,54,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Loreto.Bodrogi
1,49,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Isia.Vann
1,46,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Stenig.Fusil
1,48,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Hennie.Osvaldo
1,44,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Kanon.Herrero
1,45,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Varja.Lagos
1,50,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Minke.Mies
1,51,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Felix.Resumir
1,47,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Edvard.Vann
1,27,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Emile.Arpa
1,28,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Varro.Awelon
1,1,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Mat.Bramar
1,29,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Dante.Coginian
1,6,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Carla.Forluniau
1,4,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Linda.Lagos
1,7,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Cornelia.Lais
1,5,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Ruscella.Mies.Haber
1,2,6/1/2014,9:49:00 AM,Upcoming birthdays,Non-work related,Mat.Bramar,Anda.Ribera
26,27,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Emile.Arpa
26,28,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Varro.Awelon
26,29,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Dante.Coginian
26,31,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Albina.Hafon
26,32,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Benito.Hawelon
26,34,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Claudio.Hawelon
26,36,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Henk.Mies
26,38,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Valeria.Morlun
26,30,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Adan.Morlun
26,33,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Cecilia.Morluniau
26,37,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Irene.Nant
26,35,6/1/2014,10:01:00 AM,Don't text and drive!,Work related,Bertrand.Ovan,Dylan.Scozzese
25,46,6/1/2014,10:25:00 AM,Service anniversary,Work related,Orhan.Strum,Stenig.Fusil
45,45,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related,Varja.Lagos,Varja.Lagos
45,48,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related,Varja.Lagos,Hennie.Osvaldo
45,54,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related,Varja.Lagos,Loreto.Bodrogi
45,53,6/1/2014,10:28:00 AM,Patrol schedule changes,Work related,Varja.Lagos,Inga.Ferro
10,18,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related,Brand.Tempestad,Birgitta.Frente
10,15,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related,Brand.Tempestad,Lars.Azada
10,14,6/1/2014,10:35:00 AM,Wellhead flow rate data,Work related,Brand.Tempestad,Felix.Balas
41,41,6/1/2014,10:43:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Isak.Baza,Isak.Baza
41,40,6/1/2014,10:43:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Isak.Baza,Lucas.Alcazar
40,41,6/1/2014,10:50:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Isak.Baza
40,40,6/1/2014,10:50:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Lucas.Alcazar
39,3,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Rachel.Pantanal
39,15,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lars.Azada
39,14,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Felix.Balas
39,12,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isande.Borrasca
39,9,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Axel.Calzas
39,19,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Gustav.Cazar
39,16,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lidelse.Dedos
39,18,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Birgitta.Frente
39,20,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Vira.Frente
39,17,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Adra.Nubarron
39,8,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Marin.Onda
39,13,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Kare.Orilla
39,11,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Elsa.Orilla
39,10,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Brand.Tempestad
39,23,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ingrid.Barranco
39,24,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ada.Campo-Corrente
39,22,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Sten.Sanjorge.Jr
39,25,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Orhan.Strum
39,21,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Willem.Vasco-Pais
39,26,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Bertrand.Ovan
39,31,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Albina.Hafon
39,32,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Benito.Hawelon
39,34,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Claudio.Hawelon
39,36,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Henk.Mies
39,38,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Valeria.Morlun
39,30,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Adan.Morlun
39,33,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Cecilia.Morluniau
39,37,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Irene.Nant
39,35,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Dylan.Scozzese
39,40,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lucas.Alcazar
39,41,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isak.Baza
39,39,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Linnea.Bergen
39,42,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Nils.Calixto
39,43,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Sven.Flecha
39,52,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Hideki.Cocinaro
39,53,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Inga.Ferro
39,54,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Loreto.Bodrogi
39,49,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isia.Vann
39,46,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Stenig.Fusil
39,48,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Hennie.Osvaldo
39,44,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Kanon.Herrero
39,45,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Varja.Lagos
39,50,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Minke.Mies
39,51,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Felix.Resumir
39,47,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Edvard.Vann
39,27,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Emile.Arpa
39,28,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Varro.Awelon
39,1,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Mat.Bramar
39,29,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Dante.Coginian
39,6,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Carla.Forluniau
39,4,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Linda.Lagos
39,7,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Cornelia.Lais
39,5,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ruscella.Mies.Haber
39,2,6/1/2014,11:00:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Anda.Ribera
54,23,6/1/2014,11:04:00 AM,Plants,Non-work related,Loreto.Bodrogi,Ingrid.Barranco
39,3,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Rachel.Pantanal
39,15,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lars.Azada
39,14,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Felix.Balas
39,12,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isande.Borrasca
39,9,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Axel.Calzas
39,19,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Gustav.Cazar
39,16,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lidelse.Dedos
39,18,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Birgitta.Frente
39,20,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Vira.Frente
39,17,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Adra.Nubarron
39,8,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Marin.Onda
39,13,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Kare.Orilla
39,11,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Elsa.Orilla
39,10,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Brand.Tempestad
39,23,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ingrid.Barranco
39,24,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ada.Campo-Corrente
39,22,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Sten.Sanjorge.Jr
39,25,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Orhan.Strum
39,21,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Willem.Vasco-Pais
39,26,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Bertrand.Ovan
39,31,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Albina.Hafon
39,32,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Benito.Hawelon
39,34,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Claudio.Hawelon
39,36,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Henk.Mies
39,38,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Valeria.Morlun
39,30,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Adan.Morlun
39,33,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Cecilia.Morluniau
39,37,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Irene.Nant
39,35,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Dylan.Scozzese
39,40,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Lucas.Alcazar
39,41,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isak.Baza
39,39,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Linnea.Bergen
39,42,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Nils.Calixto
39,43,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Sven.Flecha
39,52,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Hideki.Cocinaro
39,53,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Inga.Ferro
39,54,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Loreto.Bodrogi
39,49,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Isia.Vann
39,46,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Stenig.Fusil
39,48,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Hennie.Osvaldo
39,44,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Kanon.Herrero
39,45,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Varja.Lagos
39,50,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Minke.Mies
39,51,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Felix.Resumir
39,47,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Edvard.Vann
39,27,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Emile.Arpa
39,28,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Varro.Awelon
39,1,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Mat.Bramar
39,29,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Dante.Coginian
39,6,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Carla.Forluniau
39,4,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Linda.Lagos
39,7,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Cornelia.Lais
39,5,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Ruscella.Mies.Haber
39,2,6/1/2014,11:16:00 AM,RE: Upcoming birthdays,Non-work related,Linnea.Bergen,Anda.Ribera
40,42,6/1/2014,11:23:00 AM,GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Nils.Calixto
40,43,6/1/2014,11:23:00 AM,GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Sven.Flecha
41,41,6/1/2014,11:34:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Isak.Baza,Isak.Baza
41,40,6/1/2014,11:34:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Isak.Baza,Lucas.Alcazar
40,41,6/1/2014,11:40:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Isak.Baza
40,40,6/1/2014,11:40:00 AM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Lucas.Alcazar
22,25,6/1/2014,11:53:00 AM,IPO,Work related,Sten.Sanjorge.Jr,Orhan.Strum
22,21,6/1/2014,11:53:00 AM,IPO,Work related,Sten.Sanjorge.Jr,Willem.Vasco-Pais
1,1,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Mat.Bramar
1,2,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Anda.Ribera
1,3,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Rachel.Pantanal
1,4,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Linda.Lagos
1,5,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Ruscella.Mies.Haber
1,6,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Carla.Forluniau
1,7,6/1/2014,12:05:00 PM,Craft night,Non-work related,Mat.Bramar,Cornelia.Lais
40,41,6/1/2014,12:05:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Isak.Baza
40,40,6/1/2014,12:05:00 PM,RE: GT-SeismicProcessorPro Bug Report,Work related,Lucas.Alcazar,Lucas.Alcazar
23,54,6/1/2014,12:15:00 PM,RE: Plants,Non-work related,Ingrid.Barranco,Loreto.Bodrogi
9,14,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Felix.Balas
9,15,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Lars.Azada
9,11,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Elsa.Orilla
9,18,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Birgitta.Frente
9,13,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Kare.Orilla
9,12,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Isande.Borrasca
9,19,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Gustav.Cazar
9,9,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Axel.Calzas
9,20,6/1/2014,12:15:00 PM,Wellhead flow rate data,Work related,Axel.Calzas,Vira.Frente
15,18,6/1/2014,12:21:00 PM,RE: Wellhead flow rate data,Work related,Lars.Azada,Birgitta.Frente
15,15,6/1/2014,12:21:00 PM,RE: Wellhead flow rate data,Work related,Lars.Azada,Lars.Azada
